gencode_id,expression
ENSG00000219481,5.8040185
ENSG00000215908,19.163471
ENSG00000186301,1.9634703
ENSG00000207513,0.0
ENSG00000236698,1.6336073
ENSG00000268869,0.0
ENSG00000058453,7.4690413
ENSG00000227684,0.03141553
ENSG00000207389,0.0
ENSG00000186715,0.6597261
ENSG00000263811,0.0
ENSG00000277234,0.0
ENSG00000207005,0.75397265
ENSG00000117122,0.56547946
ENSG00000159363,6.298813
ENSG00000117118,55.28347
ENSG00000117115,0.36913243
ENSG00000142623,0.007853882
ENSG00000142619,0.11780823
ENSG00000266634,0.0
ENSG00000159339,0.015707765
ENSG00000276747,0.0
ENSG00000179051,21.598175
ENSG00000074964,4.9872146
ENSG00000117148,0.007853882
ENSG00000261781,0.0
ENSG00000117154,0.007853882
ENSG00000179023,0.04712329
ENSG00000235282,0.007853882
ENSG00000009709,0.0
ENSG00000179002,0.0
ENSG00000159423,2.6153426
ENSG00000265606,0.0
ENSG00000221662,0.0
ENSG00000169991,6.1260276
ENSG00000127481,8.466484
ENSG00000127463,12.267763
ENSG00000053372,21.637445
ENSG00000211454,0.17278539
ENSG00000162482,1.2880366
ENSG00000053371,72.67982
ENSG00000200403,1.9791783
ENSG00000077549,278.66357
ENSG00000240490,0.38484022
ENSG00000201609,0.0
ENSG00000158747,233.77078
ENSG00000158748,0.015707765
ENSG00000162542,5.835434
ENSG00000178828,0.3063014
ENSG00000169914,3.1415527
ENSG00000188784,0.007853882
ENSG00000242688,0.0
ENSG00000188257,8.576439
ENSG00000127472,1.1309589
ENSG00000117215,0.36913243
ENSG00000158786,0.0
ENSG00000187980,0.015707765
ENSG00000162543,0.52621007
ENSG00000228105,0.0
ENSG00000158816,0.007853882
ENSG00000236963,0.0
ENSG00000162545,17.891144
ENSG00000090432,13.037444
ENSG00000215520,0.20420091
ENSG00000183114,0.08639269
ENSG00000158825,6.07105
ENSG00000158828,15.692056
ENSG00000284005,0.0
ENSG00000117242,0.76968044
ENSG00000244038,65.674164
ENSG00000117245,2.8588128
ENSG00000189410,0.03926941
ENSG00000127483,84.790504
ENSG00000075151,19.10064
ENSG00000251914,0.0
ENSG00000221808,0.0
ENSG00000233072,0.6675799
ENSG00000235112,0.07853882
ENSG00000117298,60.94612
ENSG00000236216,0.007853882
ENSG00000227001,0.25132424
ENSG00000187952,0.0
ENSG00000186543,0.0
ENSG00000142794,7.6968036
ENSG00000176378,0.0
ENSG00000162551,23.42813
ENSG00000076864,0.25917807
ENSG00000090686,25.957079
ENSG00000187942,0.76968044
ENSG00000142798,138.05553
ENSG00000219073,0.015707765
ENSG00000273610,0.0
ENSG00000201919,0.0
ENSG00000142789,0.0
ENSG00000278124,0.007853882
ENSG00000201273,0.0
ENSG00000228397,0.26703197
ENSG00000218510,9.196895
ENSG00000070831,224.41681
ENSG00000230068,3.5656621
ENSG00000162552,24.15854
ENSG00000266564,0.0
ENSG00000184677,6.102466
ENSG00000237200,0.007853882
ENSG00000070886,0.023561645
ENSG00000276835,0.0
ENSG00000173372,3.3457537
ENSG00000159189,0.8953425
ENSG00000173369,1.6336073
ENSG00000133216,2.7410047
ENSG00000265422,0.0
ENSG00000264014,0.0
ENSG00000215906,0.0
ENSG00000227868,0.06283106
ENSG00000004487,10.280731
ENSG00000263793,0.007853882
ENSG00000169641,63.27087
ENSG00000206935,0.730411
ENSG00000252578,0.03926941
ENSG00000179546,0.12566212
ENSG00000261326,2.2069407
ENSG00000125944,93.40621
ENSG00000125945,12.715434
ENSG00000249087,2.929498
ENSG00000204219,18.723654
ENSG00000088280,5.921827
ENSG00000007968,0.31415528
ENSG00000117318,1258.027
ENSG00000197880,0.17278539
ENSG00000142676,2034.4066
ENSG00000011007,18.951416
ENSG00000236810,3.6206396
ENSG00000057757,38.099182
ENSG00000011009,23.16895
ENSG00000117308,6.63653
ENSG00000117305,18.519453
ENSG00000179163,9.880183
ENSG00000188822,0.06283106
ENSG00000229106,0.0
ENSG00000264926,0.0
ENSG00000189266,90.81444
ENSG00000188529,105.59544
ENSG00000142661,0.08639269
ENSG00000142677,0.09424658
ENSG00000185436,0.16493152
ENSG00000158055,0.03141553
ENSG00000001460,3.4557078
ENSG00000001461,5.4741554
ENSG00000117602,5.835434
ENSG00000184454,0.35342467
ENSG00000133226,113.23727
ENSG00000169504,88.2148
ENSG00000238482,0.007853882
ENSG00000020633,1.5707763
ENSG00000278034,0.0
ENSG00000264371,0.0
ENSG00000117614,155.87598
ENSG00000117616,140.3096
ENSG00000187010,0.05497717
ENSG00000224183,0.03141553
ENSG00000183726,198.93883
ENSG00000188672,0.31415528
ENSG00000157978,9.621005
ENSG00000117643,12.786119
ENSG00000162430,31.70612
ENSG00000117640,27.307945
ENSG00000127423,0.15707764
ENSG00000182749,9.330412
ENSG00000117632,113.75562
ENSG00000229786,0.0
ENSG00000283938,0.0
ENSG00000158006,4.2882195
ENSG00000207237,0.0
ENSG00000251992,0.0
ENSG00000238835,0.007853882
ENSG00000158008,0.31415528
ENSG00000158014,0.26703197
ENSG00000158022,0.11780823
ENSG00000175087,2.583927
ENSG00000197245,30.983562
ENSG00000282872,0.007853882
ENSG00000142684,45.686028
ENSG00000142675,0.81680363
ENSG00000188782,0.0
ENSG00000130695,1.3822831
ENSG00000142669,280.21863
ENSG00000158062,4.398174
ENSG00000169442,8.293698
ENSG00000176092,0.007853882
ENSG00000176083,0.04712329
ENSG00000131914,0.04712329
ENSG00000117682,9.943014
ENSG00000198830,161.3423
ENSG00000224129,0.18063928
ENSG00000117676,2.5760732
ENSG00000238705,0.0
ENSG00000243905,0.007853882
ENSG00000252429,0.0
ENSG00000117713,33.842373
ENSG00000060642,6.565845
ENSG00000241188,0.007853882
ENSG00000204160,5.6940646
ENSG00000175793,2.6310503
ENSG00000142751,12.063562
ENSG00000198746,9.071233
ENSG00000090273,111.305214
ENSG00000131910,0.07068493
ENSG00000175707,0.08639269
ENSG00000172746,1.0995435
ENSG00000225294,0.023561645
ENSG00000253368,2.0184474
ENSG00000090020,12.581919
ENSG00000214973,0.007853882
ENSG00000225159,1.0681279
ENSG00000225990,0.007853882
ENSG00000142784,8.317261
ENSG00000186501,21.551052
ENSG00000206888,0.0
ENSG00000241547,0.023561645
ENSG00000142765,2.8038356
ENSG00000142733,11.435251
ENSG00000142748,42.285297
ENSG00000174950,0.03141553
ENSG00000181773,0.98173517
ENSG00000158195,105.12421
ENSG00000126705,19.80749
ENSG00000000938,2.332603
ENSG00000126709,307.69153
ENSG00000206767,0.015707765
ENSG00000226662,0.0
ENSG00000207095,0.0
ENSG00000009780,11.686576
ENSG00000230833,0.0
ENSG00000117758,38.374065
ENSG00000223062,0.0
ENSG00000117751,21.06411
ENSG00000252947,0.0
ENSG00000130775,5.5291324
ENSG00000117748,32.10667
ENSG00000130768,2.00274
ENSG00000158156,5.890411
ENSG00000158161,9.613151
ENSG00000240750,0.7147032
ENSG00000228589,5.356347
ENSG00000253005,0.0
ENSG00000169403,12.652603
ENSG00000126698,109.341736
ENSG00000130766,13.304475
ENSG00000130772,5.30137
ENSG00000204138,39.39507
ENSG00000221216,1.5864841
ENSG00000180198,18.29169
ENSG00000242125,47.48457
ENSG00000274266,0.0
ENSG00000200087,0.08639269
ENSG00000231468,0.03926941
