	0
1255	1888
1256	1889
1257	1890
1258	1891
1259	1892
1260	1893
1261	1894
1262	1895
1263	1896
1264	1897
1265	1898
1266	1899
1267	1900
1268	1901
1269	1902
1270	1903
1271	1904
1272	1905
1273	1906
1274	1907
1275	1908
1276	1909
1277	1912
1278	1913
1279	1914
1280	1915
1281	1916
1282	1917
1283	1918
1284	1919
1285	1920
1286	1921
1287	1922
1288	1923
1289	1924
1290	1925
1291	1926
1292	1927
1293	1928
1294	1930
1295	1931
1296	1933
1297	1934
1298	1935
1299	1936
1300	1937
1301	1938
1302	1939
1303	1940
1304	1941
1305	1942
1306	1943
1307	1944
1308	1945
1309	1946
1310	1947
1311	1948
1312	1949
1313	1950
1314	1951
1315	1952
1316	1953
1317	1954
1318	1955
1319	1956
1320	1957
1321	1958
1322	1959
1323	1960
1324	1961
1325	1962
1326	1963
1327	1964
1328	1965
1329	1966
1330	1967
1331	1968
1332	1969
1333	1970
1334	1971
1335	1972
1336	1973
1337	1974
1338	1975
1339	1976
1340	1977
1341	1978
1342	1980
1343	1981
1344	1982
1345	1983
1346	1984
1347	1985
1348	1986
1349	1987
1350	1988
1351	1989
1352	1991
1353	1992
1354	1993
1355	1994
1356	1995
1357	1996
1358	1997
1359	1998
1360	1999
1361	2000
1362	2001
1363	2002
1364	2003
1365	2004
1366	2005
1367	2006
1368	2007
1369	2008
1370	2009
1371	2010
1372	2011
1373	2012
1374	2013
1375	2014
1376	2015
1377	2016
1378	2017
1379	2018
1380	2019
1381	2020
1382	2021
1383	2022
1384	2024
1385	2026
1386	2028
1387	2030
1388	2032
1389	2033
1390	2034
1391	2035
1392	2036
1393	2037
1394	2038
1395	2039
1396	2040
1397	2041
1398	2042
1399	2043
1400	2044
1401	2045
1402	2046
1403	2047
1404	2048
1405	2050
1406	2051
1407	2052
1408	2053
1409	2054
1410	2055
1411	2056
1412	2057
1413	2058
1414	2059
1415	2060
1416	2062
1417	2063
1418	2064
1419	2065
1420	2066
1421	2067
1422	2068
1423	2069
1424	2070
1425	2071
1426	2072
1427	2073
1428	2074
1429	2075
1430	2076
1431	2077
1432	2078
1433	2079
1434	2080
1435	2081
1436	2082
1437	2083
1438	2084
1439	2085
1440	2086
1441	2087
1442	2088
1443	2089
1444	2090
1445	2091
1446	2092
1447	2093
1448	2096
1449	2097
1450	2098
1451	2100
1452	2102
1453	2103
1454	2104
1455	2107
1456	2108
1457	2114
1458	2115
1459	2118
1460	2152
1461	2159
1462	2161
1463	2162
1464	2163
1465	2164
1466	2165
1467	2166
1468	2167
1469	2168
1470	2169
1471	2170
1472	2171
1473	2172
1474	2173
1475	2174
1476	2175
1477	2176
1478	2177
1479	2178
1480	2179
1481	2180
1482	2181
1483	2182
1484	2183
1485	2184
1486	2185
1487	2186
1488	2187
1489	2188
1490	2189
1491	2190
1492	2191
1493	2192
1494	2193
1495	2194
1496	2195
1497	2196
1498	2197
1499	2198
1500	2199
1501	2200
1502	2201
1503	2202
1504	2203
1505	2204
1506	2205
1507	2206
1508	2207
1509	2208
1510	2209
1511	2210
1512	2211
1513	2212
1514	2213
1515	2214
1516	2215
1517	2216
1518	2217
1519	2218
1520	2219
1521	2220
1522	2221
1523	2222
1524	2224
1525	2225
1526	2226
1527	2227
1528	2229
1529	2230
1530	2231
1531	2232
1532	2233
1533	2234
1534	2235
1535	2236
1536	2237
1537	2238
1538	2240
1539	2241
1540	2242
1541	2243
